draft_pick,team,name,pos,age,ht,wt,college,college/yrs,meets,draft_value_score,draft_round,is_early_pick,age_normalized,college_years_numeric,college_years_normalized,age_experience_ratio,height_numeric,weight_numeric,bmi,position,position_tier,is_qb,is_defensive,meets_numeric,meets_normalized,college_frequency,college_frequency_normalized,scout_grade,position_avg_pick,pick_vs_position_avg,draft_predictability,pos_tier_LINE,pos_tier_OTHER,pos_tier_SKILL
45,NYG,Clint Sintim,LB,23.0,2010.0,0,0,0,2.0,0.82421875,2,1,0.6,0,0.0,23.0,2010.0,0,0.0,LB,OTHER,0,0,2.0,0.015873015873015872,444,1.0,61.286210317460316,117.67796610169492,-72.67796610169492,0.6176004608958664,False,True,False
46,HOU,Connor Barwin,DE,22.0,2018.0,0,1,7,51.0,0.8203125,2,1,0.4,7,0.4666666666666667,3.142857142857143,2018.0,0,0.0,DE,LINE,0,1,51.0,0.40476190476190477,26,0.056433408577878104,54.03640626679566,119.0377358490566,-73.0377358490566,0.6135679188460929,True,False,False
47,OAK,Mike Mitchell,DB,22.0,2018.0,0,0,5,33.0,0.81640625,2,1,0.4,5,0.3333333333333333,4.4,2018.0,0,0.0,DB,OTHER,0,1,33.0,0.2619047619047619,444,1.0,69.89434523809524,129.9814814814815,-82.9814814814815,0.6384100299187919,False,True,False
48,DEN,Darcel McBath,DB,23.0,2012.0,0,0,0,3.0,0.8125,2,1,0.6,0,0.0,23.0,2012.0,0,0.0,DB,OTHER,0,1,3.0,0.023809523809523808,444,1.0,60.976190476190474,129.9814814814815,-81.9814814814815,0.6307166263000428,False,True,False
49,SEA,Max Unger,C,23.0,2018.0,1,3,9,69.0,0.80859375,2,1,0.6,9,0.6,2.5555555555555554,2018.0,1,0.00017262870046685873,C,LINE,0,0,69.0,0.5476190476190477,9,0.01805869074492099,51.65730476727937,138.06666666666666,-89.06666666666666,0.6450989859971028,True,False,False
50,CLE,Mohamed Massaquoi,WR,22.0,2012.0,0,0,3,11.0,0.8046875,2,1,0.4,3,0.2,7.333333333333333,2012.0,0,0.0,WR,SKILL,0,0,11.0,0.0873015873015873,444,1.0,65.93353174603175,129.13846153846154,-79.13846153846154,0.6128186800095307,False,False,True
51,BUF,Andy Levitre,G,23.0,2018.0,0,0,9,55.0,0.80078125,2,1,0.6,9,0.6,2.5555555555555554,2018.0,0,0.0,G,OTHER,0,0,55.0,0.4365079365079365,444,1.0,68.76140873015873,137.65217391304347,-86.65217391304347,0.629500947567909,False,True,False
52,CLE,David Veikune,LB,23.0,2010.0,0,0,0,1.0,0.796875,2,1,0.6,0,0.0,23.0,2010.0,0,0.0,LB,OTHER,0,0,1.0,0.007936507936507936,444,1.0,60.03373015873016,117.67796610169492,-65.67796610169492,0.5581160881463345,False,True,False
53,PHI,LeSean McCoy,RB,21.0,2020.0,2,6,10,83.0,0.79296875,2,1,0.2,10,0.6666666666666666,2.1,2020.0,2,0.0003445740613665327,RB,SKILL,0,0,83.0,0.6587301587301587,3,0.004514672686230248,60.983646628327776,136.73684210526315,-83.73684210526315,0.6123941493456505,False,False,True
54,MIN,Phil Loadholt,T,23.0,2014.0,0,0,6,36.0,0.7890625,2,1,0.6,6,0.4,3.8333333333333335,2014.0,0,0.0,T,OTHER,0,0,36.0,0.2857142857142857,444,1.0,65.27678571428571,110.17073170731707,-56.170731707317074,0.5098516714633606,False,True,False
55,ATL,William Moore,DB,24.0,2015.0,0,1,5,30.0,0.78515625,2,1,0.8,5,0.3333333333333333,4.8,2015.0,0,0.0,DB,OTHER,0,1,30.0,0.23809523809523808,26,0.056433408577878104,41.29682293346232,129.9814814814815,-74.9814814814815,0.576862800968799,False,True,False
56,IND,Fili Moala,DT,24.0,2013.0,0,0,3,19.0,0.78125,2,1,0.8,3,0.2,8.0,2013.0,0,0.0,DT,LINE,0,1,19.0,0.15079365079365079,444,1.0,58.26587301587301,118.3076923076923,-62.30769230769231,0.5266579973992198,True,False,False
57,BAL,Paul Kruger,DE,23.0,2016.0,0,0,4,29.0,0.77734375,2,1,0.6,4,0.26666666666666666,5.75,2016.0,0,0.0,DE,LINE,0,1,29.0,0.23015873015873015,444,1.0,63.6969246031746,119.0377358490566,-62.0377358490566,0.5211602472658108,True,False,False
58,NWE,Sebastian Vollmer,T,25.0,2015.0,0,0,5,52.0,0.7734375,2,1,1.0,5,0.3333333333333333,5.0,2015.0,0,0.0,T,OTHER,0,0,52.0,0.4126984126984127,444,1.0,59.19146825396825,110.17073170731707,-52.170731707317074,0.47354438786805403,False,True,False
59,CAR,Sherrod Martin,DB,24.0,2015.0,0,0,2,16.0,0.76953125,2,1,0.8,2,0.13333333333333333,12.0,2015.0,0,0.0,DB,OTHER,0,1,16.0,0.12698412698412698,444,1.0,57.32093253968254,129.9814814814815,-70.9814814814815,0.5460891864938026,False,True,False
60,NYG,Will Beatty,T,24.0,2017.0,0,0,4,30.0,0.765625,2,1,0.8,4,0.26666666666666666,6.0,2017.0,0,0.0,T,OTHER,0,0,30.0,0.23809523809523808,444,1.0,59.38690476190476,110.17073170731707,-50.170731707317074,0.4553907460704007,False,True,False
